"","Group","Sample","ANGPT1","ANGPT2","CCL2","CCL5","CSF2","FGF2","GAPDH","IL1A","IL1B","IL6","IL8","PDGFA","PDGFB","TGFA","TGFB","TNF","VEGFA","VEGFB","VEGFC"
"1","AAA","AAA1","32.563","36.554","31.334","23.415","35.608","32.789","21.455","35.037","26.552","36.705","28.179","28.227","27.905","30.048","21.691","26.272","28.165","28.263","32.725"
"2","AAA","AAA10","34.648","37.262","31.161","22.408","33.385","33.295","22.896","36.36","27.062","34.112","30.193","30.466","28.464","31.239","22.493","27.116","28.545","27.358","32.886"
"3","AAA","AAA12","35.059","36.977","32.077","24.332","36.374","31.318","24.677","35.946","26.697","35.402","29.426","29.889","28.12","31.99","23.58","27.622","29.613","28.867","31.011"
"4","AAA","AAA13","37.135","38.295","33.982","24.895","36.997","35.526","23.973","36.885","27.697","37.134","32.464","33.008","30.78","32.096","24.461","28.483","30.154","29.951","35.868"
"5","AAA","AAA14","34.038","Undetermined","31.916","24.139","Undetermined","31.937","21.586","37.730","26.849","35.233","29.642","29.817","30.881","29.436","22.741","27.626","26.575","29.459","32.032"
"6","AAA","AAA15","35.755","37.724","33.497","24.937","35.582","31.363","23.714","35.667","26.849","35.135","30.607","31.256","29.749","31.263","23.971","27.648","29.287","29.018","34.362"
"7","AAA","AAA16","36.895","Undetermined","35.357","23.072","34.483","34.809","23.197","37.560","25.994","36.637","30.709","32.053","30.425","31.051","23.443","27.876","28.905","28.959","35.241"
"8","AAA","AAA17","36.91","38.34","30.078","24.051","37.158","34.122","24.71","36.58","27.581","34.531","31.801","33.233","29.822","32.47","24.294","28.174","29.862","28.763","35.972"
"9","AAA","AAA18","28.904","35.888","29.717","21.193","33.878","30.023","21.028","34.689","25.127","32.6","26.653","26.743","28.189","29.848","22.928","26.514","27.967","27.735","30.864"
"10","AAA","AAA19","28.71","37.878","34.185","21.328","34.741","28.986","19.841","36.155","27.788","31.488","25.692","25.996","27.681","31.189","22.091","27.548","27.779","27.325","29.509"
"11","AAA","AAA2","35.401","Undetermined","30.671","21.847","35.687","34.962","23.536","37.123","27.540","35.133","29.506","30.915","27.712","30.169","22.332","27.450","30.083","27.947","34.636"
"12","AAA","AAA22","28.752","36.38","30.011","23.016","36.406","32.927","22.667","35.123","24.599","33.173","20.461","29.236","30.036","27.488","23.414","26.332","26.631","29.077","32.482"
"13","AAA","AAA23","31.909","Undetermined","Undetermined","23.886","36.165","32.974","22.041","36.420","24.039","32.646","21.091","28.831","30.988","26.899","23.691","28.455","27.834","30.415","31.895"
