Target	Disease1	Disease10	Disease12	Disease13	Disease14	Disease15	Disease16	Disease17	Disease18	Disease19	Disease2	Disease22	Disease23	Disease24	Disease25	Disease26	Disease28	Disease29	Disease3	Disease30	Disease31	Disease32	Disease33	Disease34	Disease35	Disease36	Disease37	Disease38	Disease39	Disease4	Disease40	Disease41	Disease42	Disease43	Disease44	Disease5	Disease6	Disease7	Disease8	Disease9	Control01	Control02	Control03	Control04	Control05	Control06	Control07	Control08	Control09	Control11	Control12	Control13	Control14	Control15	Control16	Control17	Control19	Control20	Control21	Control22	Control23	Control24	Control25	Control26
Gene1	32.563	34.648	35.059	37.135	34.038	35.755	36.895	36.910	28.904	28.710	35.401	28.752	31.909	33.215	31.663	28.322	28.409	29.351	36.748	30.244	27.240	29.819	29.171	30.658	28.818	28.309	27.741	28.034	31.755	35.750	30.513	28.967	35.089	33.471	35.142	35.980	33.660	35.889	36.719	33.777	30.402	33.052	32.096	33.941	35.507	34.053	27.941	36.668	33.073	34.234	34.475	35.976	32.728	32.340	35.647	34.466	33.723	33.068	34.038	35.573	31.314	33.079	34.836	34.506
Gene2	36.554	37.262	36.977	38.295	Undetermined	37.724	Undetermined	38.340	35.888	37.878	Undetermined	36.380	Undetermined	Undetermined	35.286	35.226	36.540	35.583	Undetermined	37.276	34.203	35.827	34.437	37.125	35.804	34.851	36.735	33.552	37.875	37.747	38.533	35.691	38.602	Undetermined	36.738	34.901	36.993	37.677	38.081	37.031	34.886	36.841	35.774	36.383	37.524	37.094	36.487	Undetermined	35.993	36.630	38.793	37.958	37.802	35.834	Undetermined	37.410	35.604	Undetermined	38.219	Undetermined	35.672	37.901	39.471	38.011
Gene3	31.334	31.161	32.077	33.982	31.916	33.497	35.357	30.078	29.717	34.185	30.671	30.011	Undetermined	33.739	32.467	34.467	29.316	30.686	33.826	33.917	28.202	31.663	30.249	29.839	28.324	31.564	29.860	29.755	28.885	32.492	Undetermined	33.670	35.186	32.162	34.141	32.360	30.905	32.677	32.021	31.086	29.179	31.408	28.203	29.143	33.657	30.039	30.028	34.853	31.095	32.662	30.194	32.600	30.601	30.821	33.432	30.462	32.756	38.850	34.873	34.886	31.745	38.000	34.786	34.256
Gene4	23.415	22.408	24.332	24.895	24.139	24.937	23.072	24.051	21.193	21.328	21.847	23.016	23.886	24.505	23.750	20.638	20.144	19.984	25.117	22.839	20.417	21.509	20.855	21.917	20.480	19.434	19.295	20.255	22.475	24.080	31.508	22.517	23.976	22.556	23.310	25.273	23.273	24.856	24.404	22.900	21.513	23.653	20.499	22.521	24.123	22.941	21.166	26.228	23.147	22.945	23.637	25.186	22.786	21.877	25.435	22.874	24.268	25.523	23.935	25.056	20.966	24.995	24.597	23.801
Gene5	35.608	33.385	36.374	36.997	Undetermined	35.582	34.483	37.158	33.878	34.741	35.687	36.406	36.165	37.540	36.910	33.306	32.347	33.464	38.352	35.696	34.857	35.781	31.699	34.832	34.590	32.421	33.738	32.684	34.486	36.122	37.266	34.501	37.400	34.743	37.576	Undetermined	34.821	37.205	38.812	34.553	32.118	35.042	33.275	35.550	36.667	34.600	32.097	37.147	36.036	36.241	34.645	36.808	32.484	34.558	36.844	34.369	31.799	38.097	32.783	35.709	31.588	35.664	37.935	37.361
Gene7	32.789	33.295	31.318	35.526	31.937	31.363	34.809	34.122	30.023	28.986	34.962	32.927	32.974	33.868	33.671	29.983	30.769	29.289	34.290	31.573	30.536	31.532	31.616	32.901	30.147	30.017	28.410	29.559	32.465	33.886	31.957	30.274	31.240	33.499	32.382	34.624	32.345	33.313	33.884	32.242	30.210	31.761	30.179	32.356	31.019	32.365	29.246	35.913	30.209	34.374	36.446	34.338	32.538	31.137	36.135	33.805	31.707	31.178	31.580	35.072	30.936	31.538	34.236	31.987
Gene8	21.455	22.896	24.677	23.973	21.586	23.714	23.197	24.710	21.028	19.841	23.536	22.667	22.041	24.492	24.367	22.024	20.829	19.564	24.580	21.499	20.096	21.560	20.051	22.069	20.310	20.479	20.283	18.314	23.639	24.142	22.866	22.233	23.421	22.804	24.807	25.792	22.721	24.089	24.958	23.070	20.304	20.454	21.572	19.606	22.653	22.109	18.432	26.289	21.358	24.005	22.437	24.794	22.152	22.064	24.962	22.583	21.865	23.348	23.057	22.732	22.090	22.792	22.819	21.815
Gene9	35.037	36.360	35.946	36.885	37.730	35.667	37.560	36.580	34.689	36.155	37.123	35.123	36.420	39.073	36.185	35.694	35.435	34.743	37.599	37.159	32.796	35.733	35.880	Undetermined	31.571	35.298	33.722	34.385	36.953	36.374	38.071	36.456	Undetermined	35.358	38.174	Undetermined	35.554	36.789	38.265	36.744	33.106	35.496	34.242	34.659	37.307	34.396	33.810	Undetermined	35.109	37.184	37.913	Undetermined	36.439	35.960	38.036	35.752	36.868	38.560	36.922	36.950	36.587	Undetermined	39.666	36.291
Gene10	26.552	27.062	26.697	27.697	26.849	26.849	25.994	27.581	25.127	27.788	27.540	24.599	24.039	28.577	27.408	27.759	24.657	24.585	29.349	24.781	23.042	26.876	26.788	28.015	22.043	23.996	25.341	23.927	26.675	27.555	26.108	27.056	26.494	25.799	28.087	29.150	25.711	28.200	26.952	27.980	24.298	26.532	24.420	24.345	28.339	25.369	22.832	30.892	25.181	28.046	27.624	28.976	25.450	27.237	30.689	26.403	25.237	28.537	28.007	26.988	25.973	30.753	29.686	26.266
Gene11	36.705	34.112	35.402	37.134	35.233	35.135	36.637	34.531	32.600	31.488	35.133	33.173	32.646	35.550	33.747	32.769	32.123	32.918	37.081	34.298	31.369	32.641	31.340	34.296	33.023	30.882	31.976	30.214	32.449	36.673	34.685	30.664	36.948	34.369	35.724	36.124	35.422	35.793	35.748	35.210	31.023	34.949	33.244	35.162	37.411	36.731	32.206	36.856	35.811	35.379	34.225	36.590	33.705	34.241	36.318	34.324	34.931	37.800	36.768	36.429	34.214	37.129	38.280	37.217
Gene12	28.179	30.193	29.426	32.464	29.642	30.607	30.709	31.801	26.653	25.692	29.506	20.461	21.091	28.949	25.438	28.345	24.633	25.841	32.356	25.717	17.990	22.821	26.012	26.823	20.637	26.244	26.172	23.977	27.323	33.214	26.635	32.805	28.816	28.884	28.021	30.786	24.810	31.395	29.242	32.393	26.650	28.126	26.773	27.184	31.200	30.033	24.361	32.381	25.741	33.216	31.438	32.976	28.837	29.286	33.656	28.817	26.441	31.217	30.291	29.846	27.895	31.549	30.650	31.305
Gene13	28.227	30.466	29.889	33.008	29.817	31.256	32.053	33.233	26.743	25.996	30.915	29.236	28.831	30.743	30.279	27.708	26.740	26.112	32.459	28.398	26.617	27.245	26.110	28.497	26.949	25.358	25.402	24.790	28.822	31.721	28.001	28.671	29.924	29.082	30.038	30.715	29.472	31.787	31.961	29.717	27.184	30.141	28.254	29.610	30.498	30.609	25.958	33.224	28.540	29.098	32.302	33.340	29.349	29.588	32.489	31.802	30.745	28.445	30.081	31.564	28.015	30.521	31.110	30.384
Gene14	27.905	28.464	28.120	30.780	30.881	29.749	30.425	29.822	28.189	27.681	27.712	30.036	30.988	31.594	31.212	27.576	27.682	27.384	30.782	30.523	27.948	28.469	27.428	30.006	27.992	26.934	26.537	26.758	28.353	29.890	29.048	29.105	30.067	27.531	29.282	30.729	28.947	30.670	29.683	28.723	27.374	28.869	27.388	29.513	28.562	27.914	27.031	31.643	29.173	28.404	30.616	29.684	28.474	27.870	30.335	29.660	29.295	28.808	29.240	30.587	27.166	29.261	30.052	28.956
Gene15	30.048	31.239	31.990	32.096	29.436	31.263	31.051	32.470	29.848	31.189	30.169	27.488	26.899	32.710	31.056	30.506	30.020	28.662	31.458	28.736	25.900	29.232	29.121	30.149	26.361	28.529	28.891	26.624	30.426	32.103	30.730	28.992	29.436	30.866	31.693	33.110	28.651	31.467	31.653	30.641	27.695	29.128	29.971	28.356	31.068	30.542	25.846	33.485	28.687	31.074	31.027	32.600	30.367	30.280	32.432	31.831	29.260	31.896	31.481	29.176	30.291	30.033	30.712	31.174
Gene16	21.691	22.493	23.580	24.461	22.741	23.971	23.443	24.294	22.928	22.091	22.332	23.414	23.691	25.560	25.737	22.528	22.034	20.620	24.104	23.812	21.042	22.497	21.006	22.818	20.847	20.162	20.963	19.997	22.551	23.271	22.867	21.658	23.732	22.849	24.810	25.119	22.194	23.467	23.643	22.883	20.631	21.196	21.533	21.585	21.863	21.502	19.801	25.132	21.906	23.547	22.493	24.812	22.689	21.840	24.516	24.108	22.300	23.302	23.379	22.972	22.179	22.644	22.980	22.844
Gene17	26.272	27.116	27.622	28.483	27.626	27.648	27.876	28.174	26.514	27.548	27.450	26.332	28.455	28.893	29.132	27.017	26.116	25.176	29.103	28.229	25.281	26.606	25.055	28.062	24.936	25.334	26.187	24.447	27.124	27.244	27.943	27.137	28.823	26.406	29.328	28.690	26.855	28.681	26.989	27.564	24.982	26.433	25.423	25.747	26.798	25.843	24.436	30.133	26.611	28.031	27.388	28.904	26.692	26.357	29.772	27.724	26.403	29.281	27.872	27.208	26.685	29.111	28.990	28.401
Gene18	28.165	28.545	29.613	30.154	26.575	29.287	28.905	29.862	27.967	27.779	30.083	26.631	27.834	31.135	28.991	28.743	27.410	27.431	29.432	28.030	25.592	27.622	28.036	29.474	26.887	26.879	28.048	26.307	28.610	29.898	29.338	27.937	29.378	28.878	30.424	30.447	27.769	29.402	29.386	28.962	26.098	28.016	27.281	27.259	29.582	28.328	25.323	31.399	28.275	30.237	29.819	30.251	28.330	28.220	30.991	29.303	28.090	30.491	29.494	28.941	28.074	29.055	28.702	29.012
Gene19	28.263	27.358	28.867	29.951	29.459	29.018	28.959	28.763	27.735	27.325	27.947	29.077	30.415	31.039	29.690	27.540	28.254	27.203	29.266	29.804	27.999	28.189	26.520	28.837	27.584	26.524	26.558	26.054	28.112	28.391	29.138	27.208	29.554	27.926	29.693	Undetermined	28.062	29.479	29.475	28.246	25.263	26.226	26.842	25.276	28.194	27.432	28.603	29.908	27.719	31.246	26.684	28.085	26.732	26.428	28.964	24.930	26.964	27.953	27.301	28.143	26.754	27.682	27.961	26.911
Gene20	32.725	32.886	31.011	35.868	32.032	34.362	35.241	35.972	30.864	29.509	34.636	32.482	31.895	34.386	32.888	30.758	30.010	29.839	35.930	31.987	30.300	31.329	30.627	32.508	30.774	28.720	29.192	28.878	32.293	34.729	32.024	30.535	32.572	32.749	33.071	33.508	32.800	34.536	34.871	33.375	30.951	33.002	31.004	32.984	33.680	33.795	29.589	36.658	32.776	34.843	34.817	36.295	32.902	32.858	35.297	34.330	34.795	30.978	33.086	35.261	32.173	32.533	33.241	33.386
