Sample	Target	Amp_Status	Amp_Score	Ct	Number	Number_status	FLAG	Group
Disease40	Gene2	Inconclusive	0.000	38.533	19	139	Undetermined	Disease
Disease41	Gene2	No Amp	1.269	35.691	19	487	Undetermined	Disease
Disease42	Gene2	Inconclusive	0.000	38.602	19	139	Undetermined	Disease
Disease43	Gene2	No Amp	0.000	Undetermined	19	487	Undetermined	Disease
Disease44	Gene2	No Amp	0.000	36.738	19	487	Undetermined	Disease
Disease5	Gene2	Inconclusive	1.243	34.901	19	139	Undetermined	Disease
Disease6	Gene2	No Amp	0.000	36.993	19	487	Undetermined	Disease
Disease7	Gene2	No Amp	0.000	37.677	19	487	Undetermined	Disease
Disease8	Gene2	Inconclusive	0.000	38.081	19	139	Undetermined	Disease
Disease9	Gene2	No Amp	0.000	37.031	19	487	Undetermined	Disease
Disease1	Gene3	Amp	1.360	31.334	19	2262	OK	Disease
Disease10	Gene3	Amp	1.368	31.161	19	2262	OK	Disease
Disease12	Gene3	Amp	1.366	32.077	19	2262	OK	Disease
Disease13	Gene3	Amp	1.297	33.982	19	2262	OK	Disease
Disease14	Gene3	Amp	1.346	31.916	19	2262	OK	Disease
Disease15	Gene3	Amp	1.345	33.497	19	2262	OK	Disease
Disease16	Gene3	Amp	1.228	35.357	19	2262	Undetermined	Disease
Disease17	Gene3	Amp	1.363	30.078	19	2262	OK	Disease
Disease18	Gene3	Amp	1.389	29.717	19	2262	OK	Disease
Disease19	Gene3	Amp	1.344	34.185	19	2262	OK	Disease
Disease2	Gene3	Amp	1.355	30.671	19	2262	OK	Disease
Disease22	Gene3	Amp	1.417	30.011	19	2262	OK	Disease
Disease23	Gene3	No Amp	0.000	Undetermined	19	487	Undetermined	Disease
Disease24	Gene3	Amp	1.323	33.739	19	2262	OK	Disease
Disease25	Gene3	Amp	1.371	32.467	19	2262	OK	Disease
Disease26	Gene3	Amp	1.237	34.467	19	2262	OK	Disease
Disease28	Gene3	Amp	1.367	29.316	19	2262	OK	Disease
Disease29	Gene3	Amp	1.361	30.686	19	2262	OK	Disease
Disease3	Gene3	Amp	1.316	33.826	19	2262	OK	Disease
Disease30	Gene3	Amp	1.351	33.917	19	2262	OK	Disease
Disease31	Gene3	Amp	1.431	28.202	19	2262	OK	Disease
Disease32	Gene3	Amp	1.402	31.663	19	2262	OK	Disease
Disease33	Gene3	Amp	1.416	30.249	19	2262	OK	Disease
Disease34	Gene3	Amp	1.433	29.839	19	2262	OK	Disease
Disease35	Gene3	Amp	1.450	28.324	19	2262	OK	Disease
Disease36	Gene3	Amp	1.424	31.564	19	2262	OK	Disease
Disease37	Gene3	Amp	1.421	29.860	19	2262	OK	Disease
Disease38	Gene3	Amp	1.433	29.755	19	2262	OK	Disease
Disease39	Gene3	Amp	1.414	28.885	19	2262	OK	Disease
Disease4	Gene3	Amp	1.363	32.492	19	2262	OK	Disease
Disease40	Gene3	No Amp	0.000	Undetermined	19	487	Undetermined	Disease
Disease41	Gene3	Amp	1.366	33.670	19	2262	OK	Disease
Disease42	Gene3	Amp	1.291	35.186	19	2262	Undetermined	Disease
Disease43	Gene3	Amp	1.379	32.162	19	2262	OK	Disease
Disease44	Gene3	Amp	1.323	34.141	19	2262	OK	Disease
Disease5	Gene3	Amp	1.352	32.360	19	2262	OK	Disease
Disease6	Gene3	Amp	1.354	30.905	19	2262	OK	Disease
Disease7	Gene3	Amp	1.400	32.677	19	2262	OK	Disease
Disease8	Gene3	Amp	1.347	32.021	19	2262	OK	Disease
Disease9	Gene3	Amp	1.377	31.086	19	2262	OK	Disease
Disease1	Gene4	Amp	1.394	23.415	19	2262	OK	Disease
Disease10	Gene4	Amp	1.416	22.408	19	2262	OK	Disease
Disease12	Gene4	Amp	1.428	24.332	19	2262	OK	Disease
Disease13	Gene4	Amp	1.401	24.895	19	2262	OK	Disease
Disease14	Gene4	Amp	1.387	24.139	19	2262	OK	Disease
Disease15	Gene4	Amp	1.420	24.937	19	2262	OK	Disease
Disease16	Gene4	Amp	1.424	23.072	19	2262	OK	Disease
Disease17	Gene4	Amp	1.428	24.051	19	2262	OK	Disease
Disease18	Gene4	Amp	1.463	21.193	19	2262	OK	Disease
Disease19	Gene4	Amp	1.511	21.328	19	2262	OK	Disease
Disease2	Gene4	Amp	1.452	21.847	19	2262	OK	Disease
Disease22	Gene4	Amp	1.476	23.016	19	2262	OK	Disease
Disease23	Gene4	Amp	1.463	23.886	19	2262	OK	Disease
Disease24	Gene4	Amp	1.412	24.505	19	2262	OK	Disease
Disease25	Gene4	Amp	1.471	23.750	19	2262	OK	Disease
Disease26	Gene4	Amp	1.457	20.638	19	2262	OK	Disease
Disease28	Gene4	Amp	1.461	20.144	19	2262	OK	Disease
Disease29	Gene4	Amp	1.469	19.984	19	2262	OK	Disease
Disease3	Gene4	Amp	1.404	25.117	19	2262	OK	Disease
Disease30	Gene4	Amp	1.495	22.839	19	2262	OK	Disease
Disease31	Gene4	Amp	1.453	20.417	19	2262	OK	Disease
Disease32	Gene4	Amp	1.437	21.509	19	2262	OK	Disease
Disease33	Gene4	Amp	1.487	20.855	19	2262	OK	Disease
Disease34	Gene4	Amp	1.483	21.917	19	2262	OK	Disease
Disease35	Gene4	Amp	1.488	20.480	19	2262	OK	Disease
Disease36	Gene4	Amp	1.485	19.434	19	2262	OK	Disease
Disease37	Gene4	Amp	1.481	19.295	19	2262	OK	Disease
Disease38	Gene4	Amp	1.496	20.255	19	2262	OK	Disease
Disease39	Gene4	Amp	1.456	22.475	19	2262	OK	Disease
Disease4	Gene4	Amp	1.426	24.080	19	2262	OK	Disease
Disease40	Gene4	Amp	1.319	31.508	19	2262	OK	Disease
Disease41	Gene4	Amp	1.421	22.517	19	2262	OK	Disease
Disease42	Gene4	Amp	1.437	23.976	19	2262	OK	Disease
Disease43	Gene4	Amp	1.437	22.556	19	2262	OK	Disease
Disease44	Gene4	Amp	1.432	23.310	19	2262	OK	Disease
Disease5	Gene4	Amp	1.401	25.273	19	2262	OK	Disease
Disease6	Gene4	Amp	1.407	23.273	19	2262	OK	Disease
Disease7	Gene4	Amp	1.410	24.856	19	2262	OK	Disease
Disease8	Gene4	Amp	1.412	24.404	19	2262	OK	Disease
Disease9	Gene4	Amp	1.443	22.900	19	2262	OK	Disease
Disease1	Gene5	Inconclusive	1.231	35.608	19	139	Undetermined	Disease
Disease10	Gene5	Amp	1.361	33.385	19	2262	OK	Disease
Disease12	Gene5	Inconclusive	1.162	36.374	19	139	Undetermined	Disease
Disease13	Gene5	No Amp	1.097	36.997	19	487	Undetermined	Disease
Disease14	Gene5	No Amp	0.000	Undetermined	19	487	Undetermined	Disease
Disease15	Gene5	Inconclusive	1.210	35.582	19	139	Undetermined	Disease
Disease16	Gene5	Amp	1.313	34.483	19	2262	OK	Disease
Disease17	Gene5	No Amp	1.098	37.158	19	487	Undetermined	Disease
Disease18	Gene5	Amp	1.402	33.878	19	2262	OK	Disease
Disease19	Gene5	Inconclusive	1.310	34.741	19	139	Undetermined	Disease
Disease2	Gene5	Inconclusive	1.226	35.687	19	139	Undetermined	Disease
Disease22	Gene5	No Amp	1.184	36.406	19	487	Undetermined	Disease
Disease23	Gene5	No Amp	1.204	36.165	19	487	Undetermined	Disease
Disease24	Gene5	No Amp	1.069	37.540	19	487	Undetermined	Disease
Disease25	Gene5	No Amp	1.134	36.910	19	487	Undetermined	Disease
Disease26	Gene5	Amp	1.371	33.306	19	2262	OK	Disease
Disease28	Gene5	Amp	1.468	32.347	19	2262	OK	Disease
Disease29	Gene5	Amp	1.416	33.464	19	2262	OK	Disease
Disease3	Gene5	No Amp	0.000	38.352	19	487	Undetermined	Disease
Disease30	Gene5	No Amp	1.265	35.696	19	487	Undetermined	Disease
Disease31	Gene5	Inconclusive	1.313	34.857	19	139	Undetermined	Disease
Disease32	Gene5	No Amp	1.234	35.781	19	487	Undetermined	Disease
Disease33	Gene5	Amp	1.492	31.699	19	2262	OK	Disease
Disease34	Gene5	Inconclusive	1.318	34.832	19	139	Undetermined	Disease
Disease35	Gene5	Inconclusive	1.324	34.590	19	139	Undetermined	Disease
Disease36	Gene5	Amp	1.498	32.421	19	2262	OK	Disease
Disease37	Gene5	Amp	1.424	33.738	19	2262	OK	Disease
Disease38	Gene5	Amp	1.485	32.684	19	2262	OK	Disease
Disease39	Gene5	Inconclusive	1.330	34.486	19	139	Undetermined	Disease
Disease4	Gene5	Inconclusive	1.189	36.122	19	139	Undetermined	Disease
Disease40	Gene5	No Amp	1.105	37.266	19	487	Undetermined	Disease
Disease41	Gene5	Amp	1.333	34.501	19	2262	OK	Disease
Disease42	Gene5	No Amp	1.084	37.400	19	487	Undetermined	Disease
Disease43	Gene5	Amp	1.327	34.743	19	2262	OK	Disease
Disease44	Gene5	Inconclusive	1.058	37.576	19	139	Undetermined	Disease
Disease5	Gene5	No Amp	0.731	Undetermined	19	487	Undetermined	Disease
Disease6	Gene5	Amp	1.311	34.821	19	2262	OK	Disease
Disease7	Gene5	Inconclusive	1.082	37.205	19	139	Undetermined	Disease
Disease8	Gene5	No Amp	0.900	38.812	19	487	Undetermined	Disease
Disease9	Gene5	Amp	1.332	34.553	19	2262	OK	Disease
Disease1	Gene7	Amp	1.446	32.789	19	2262	OK	Disease
Disease10	Gene7	Amp	1.410	33.295	19	2262	OK	Disease
Disease12	Gene7	Amp	1.498	31.318	19	2262	OK	Disease
Disease13	Gene7	Inconclusive	1.270	35.526	19	139	Undetermined	Disease
Disease14	Gene7	Amp	1.444	31.937	19	2262	OK	Disease
Disease15	Gene7	Amp	1.476	31.363	19	2262	OK	Disease
Disease16	Gene7	Amp	1.354	34.809	19	2262	OK	Disease
Disease17	Gene7	Amp	1.356	34.122	19	2262	OK	Disease
Disease18	Gene7	Amp	1.443	30.023	19	2262	OK	Disease
Disease19	Gene7	Amp	1.478	28.986	19	2262	OK	Disease
Disease2	Gene7	Amp	1.348	34.962	19	2262	OK	Disease
Disease22	Gene7	Amp	1.475	32.927	19	2262	OK	Disease
Disease23	Gene7	Amp	1.464	32.974	19	2262	OK	Disease
Disease24	Gene7	Amp	1.397	33.868	19	2262	OK	Disease
Disease25	Gene7	Amp	1.395	33.671	19	2262	OK	Disease
Disease26	Gene7	Amp	1.513	29.983	19	2262	OK	Disease
Disease28	Gene7	Amp	1.467	30.769	19	2262	OK	Disease
Disease29	Gene7	Amp	1.491	29.289	19	2262	OK	Disease
Disease3	Gene7	Amp	1.352	34.290	19	2262	OK	Disease
Disease30	Gene7	Amp	1.498	31.573	19	2262	OK	Disease
Disease31	Gene7	Amp	1.512	30.536	19	2262	OK	Disease
Disease32	Gene7	Amp	1.494	31.532	19	2262	OK	Disease
Disease33	Gene7	Amp	1.489	31.616	19	2262	OK	Disease
Disease34	Gene7	Amp	1.514	32.901	19	2262	OK	Disease
Disease35	Gene7	Amp	1.505	30.147	19	2262	OK	Disease
Disease36	Gene7	Amp	1.468	30.017	19	2262	OK	Disease
Disease37	Gene7	Amp	1.478	28.410	19	2262	OK	Disease
Disease38	Gene7	Amp	1.518	29.559	19	2262	OK	Disease
Disease39	Gene7	Amp	1.496	32.465	19	2262	OK	Disease
Disease4	Gene7	Amp	1.384	33.886	19	2262	OK	Disease
Disease40	Gene7	Amp	1.478	31.957	19	2262	OK	Disease
Disease41	Gene7	Amp	1.489	30.274	19	2262	OK	Disease
Disease42	Gene7	Amp	1.448	31.240	19	2262	OK	Disease
Disease43	Gene7	Amp	1.391	33.499	19	2262	OK	Disease
Disease44	Gene7	Amp	1.516	32.382	19	2262	OK	Disease
Disease5	Gene7	Amp	1.358	34.624	19	2262	OK	Disease
Disease6	Gene7	Amp	1.451	32.345	19	2262	OK	Disease
Disease7	Gene7	Amp	1.379	33.313	19	2262	OK	Disease
Disease8	Gene7	Amp	1.370	33.884	19	2262	OK	Disease
Disease9	Gene7	Amp	1.450	32.242	19	2262	OK	Disease
Disease1	Gene8	Amp	1.295	21.455	19	2262	OK	Disease
Disease10	Gene8	Amp	1.282	22.896	19	2262	OK	Disease
Disease12	Gene8	Amp	1.257	24.677	19	2262	OK	Disease
Disease13	Gene8	Amp	1.301	23.973	19	2262	OK	Disease
Disease14	Gene8	Amp	1.306	21.586	19	2262	OK	Disease
Disease15	Gene8	Amp	1.315	23.714	19	2262	OK	Disease
Disease16	Gene8	Amp	1.269	23.197	19	2262	OK	Disease
Disease17	Gene8	Amp	1.269	24.710	19	2262	OK	Disease
Disease18	Gene8	Amp	1.379	21.028	19	2262	OK	Disease
Disease19	Gene8	Amp	1.404	19.841	19	2262	OK	Disease
Disease2	Gene8	Amp	1.325	23.536	19	2262	OK	Disease
Disease22	Gene8	Amp	1.366	22.667	19	2262	OK	Disease
Disease23	Gene8	Amp	1.351	22.041	19	2262	OK	Disease
Disease24	Gene8	Amp	1.370	24.492	19	2262	OK	Disease
Disease25	Gene8	Amp	1.398	24.367	19	2262	OK	Disease
Disease26	Gene8	Amp	1.312	22.024	19	2262	OK	Disease
Disease28	Gene8	Amp	1.370	20.829	19	2262	OK	Disease
Disease29	Gene8	Amp	1.372	19.564	19	2262	OK	Disease
Disease3	Gene8	Amp	1.263	24.580	19	2262	OK	Disease
Disease30	Gene8	Amp	1.374	21.499	19	2262	OK	Disease
Disease31	Gene8	Amp	1.364	20.096	19	2262	OK	Disease
Disease32	Gene8	Amp	1.358	21.560	19	2262	OK	Disease
Disease33	Gene8	Amp	1.404	20.051	19	2262	OK	Disease
Disease34	Gene8	Amp	1.402	22.069	19	2262	OK	Disease
Disease35	Gene8	Amp	1.385	20.310	19	2262	OK	Disease
Disease36	Gene8	Amp	1.389	20.479	19	2262	OK	Disease
Disease37	Gene8	Amp	1.419	20.283	19	2262	OK	Disease
Disease38	Gene8	Amp	1.427	18.314	19	2262	OK	Disease
Disease39	Gene8	Amp	1.402	23.639	19	2262	OK	Disease
Disease4	Gene8	Amp	1.278	24.142	19	2262	OK	Disease
Disease40	Gene8	Amp	1.407	22.866	19	2262	OK	Disease
Disease41	Gene8	Amp	1.298	22.233	19	2262	OK	Disease
Disease42	Gene8	Amp	1.286	23.421	19	2262	OK	Disease
Disease43	Gene8	Amp	1.317	22.804	19	2262	OK	Disease
Disease44	Gene8	Amp	1.346	24.807	19	2262	OK	Disease
Disease5	Gene8	Amp	1.269	25.792	19	2262	OK	Disease
Disease6	Gene8	Amp	1.311	22.721	19	2262	OK	Disease
Disease7	Gene8	Amp	1.286	24.089	19	2262	OK	Disease
Disease8	Gene8	Amp	1.279	24.958	19	2262	OK	Disease
Disease9	Gene8	Amp	1.301	23.070	19	2262	OK	Disease
Disease1	Gene9	Inconclusive	1.226	35.037	19	139	Undetermined	Disease
Disease10	Gene9	No Amp	1.159	36.360	19	487	Undetermined	Disease
Disease12	Gene9	No Amp	1.180	35.946	19	487	Undetermined	Disease
Disease13	Gene9	No Amp	1.076	36.885	19	487	Undetermined	Disease
Disease14	Gene9	No Amp	0.000	37.730	19	487	Undetermined	Disease
Disease15	Gene9	No Amp	1.191	35.667	19	487	Undetermined	Disease
Disease16	Gene9	No Amp	0.000	37.560	19	487	Undetermined	Disease
Disease17	Gene9	No Amp	1.123	36.580	19	487	Undetermined	Disease
Disease18	Gene9	Inconclusive	1.238	34.689	19	139	Undetermined	Disease
Disease19	Gene9	No Amp	1.147	36.155	19	487	Undetermined	Disease
Disease2	Gene9	No Amp	1.037	37.123	19	487	Undetermined	Disease
Disease22	Gene9	No Amp	1.233	35.123	19	487	Undetermined	Disease
Disease23	Gene9	No Amp	1.112	36.420	19	487	Undetermined	Disease
Disease24	Gene9	No Amp	0.745	39.073	19	487	Undetermined	Disease
Disease25	Gene9	No Amp	1.142	36.185	19	487	Undetermined	Disease
Disease26	Gene9	No Amp	1.190	35.694	19	487	Undetermined	Disease
Disease28	Gene9	No Amp	1.189	35.435	19	487	Undetermined	Disease
Disease29	Gene9	Inconclusive	1.236	34.743	19	139	Undetermined	Disease
Disease3	Gene9	No Amp	0.000	37.599	19	487	Undetermined	Disease
Disease30	Gene9	No Amp	0.000	37.159	19	487	Undetermined	Disease
Disease31	Gene9	Amp	1.406	32.796	19	2262	OK	Disease
Disease32	Gene9	No Amp	1.183	35.733	19	487	Undetermined	Disease
Disease33	Gene9	No Amp	1.163	35.880	19	487	Undetermined	Disease
Disease34	Gene9	No Amp	0.000	Undetermined	19	487	Undetermined	Disease
Disease35	Gene9	Amp	1.481	31.571	19	2262	OK	Disease
Disease36	Gene9	No Amp	1.231	35.298	19	487	Undetermined	Disease
Disease37	Gene9	Amp	1.359	33.722	19	2262	OK	Disease
Disease38	Gene9	Inconclusive	1.295	34.385	19	139	Undetermined	Disease
Disease39	Gene9	No Amp	1.059	36.953	19	487	Undetermined	Disease
Disease4	Gene9	No Amp	1.135	36.374	19	487	Undetermined	Disease
Disease40	Gene9	No Amp	0.926	38.071	19	487	Undetermined	Disease
Disease41	Gene9	No Amp	1.126	36.456	19	487	Undetermined	Disease
Disease42	Gene9	No Amp	0.630	Undetermined	19	487	Undetermined	Disease
Disease43	Gene9	No Amp	1.215	35.358	19	487	Undetermined	Disease
Disease44	Gene9	Inconclusive	0.908	38.174	19	139	Undetermined	Disease
Disease5	Gene9	No Amp	0.000	Undetermined	19	487	Undetermined	Disease
Disease6	Gene9	No Amp	1.194	35.554	19	487	Undetermined	Disease
Disease7	Gene9	No Amp	1.091	36.789	19	487	Undetermined	Disease
Disease8	Gene9	No Amp	0.000	38.265	19	487	Undetermined	Disease
Disease9	Gene9	No Amp	1.088	36.744	19	487	Undetermined	Disease
Disease1	Gene10	Amp	1.423	26.552	19	2262	OK	Disease
Disease10	Gene10	Amp	1.397	27.062	19	2262	OK	Disease
Disease12	Gene10	Amp	1.366	26.697	19	2262	OK	Disease
Disease13	Gene10	Amp	1.359	27.697	19	2262	OK	Disease
Disease14	Gene10	Amp	1.390	26.849	19	2262	OK	Disease
Disease15	Gene10	Amp	1.398	26.849	19	2262	OK	Disease
Disease16	Gene10	Amp	1.393	25.994	19	2262	OK	Disease
Disease17	Gene10	Amp	1.407	27.581	19	2262	OK	Disease
Disease18	Gene10	Amp	1.504	25.127	19	2262	OK	Disease
Disease19	Gene10	Amp	1.484	27.788	19	2262	OK	Disease
Disease2	Gene10	Amp	1.364	27.540	19	2262	OK	Disease
Disease22	Gene10	Amp	1.495	24.599	19	2262	OK	Disease
Disease23	Gene10	Amp	1.463	24.039	19	2262	OK	Disease
Disease24	Gene10	Amp	1.485	28.577	19	2262	OK	Disease
Disease25	Gene10	Amp	1.465	27.408	19	2262	OK	Disease
Disease26	Gene10	Amp	1.438	27.759	19	2262	OK	Disease
Disease28	Gene10	Amp	1.459	24.657	19	2262	OK	Disease
Disease29	Gene10	Amp	1.488	24.585	19	2262	OK	Disease
Disease3	Gene10	Amp	1.393	29.349	19	2262	OK	Disease
Disease30	Gene10	Amp	1.484	24.781	19	2262	OK	Disease
Disease31	Gene10	Amp	1.468	23.042	19	2262	OK	Disease
Disease32	Gene10	Amp	1.449	26.876	19	2262	OK	Disease
Disease33	Gene10	Amp	1.491	26.788	19	2262	OK	Disease
Disease34	Gene10	Amp	1.504	28.015	19	2262	OK	Disease
Disease35	Gene10	Amp	1.510	22.043	19	2262	OK	Disease
Disease36	Gene10	Amp	1.479	23.996	19	2262	OK	Disease
Disease37	Gene10	Amp	1.502	25.341	19	2262	OK	Disease
Disease38	Gene10	Amp	1.491	23.927	19	2262	OK	Disease
Disease39	Gene10	Amp	1.490	26.675	19	2262	OK	Disease
Disease4	Gene10	Amp	1.405	27.555	19	2262	OK	Disease
Disease40	Gene10	Amp	1.483	26.108	19	2262	OK	Disease
Disease41	Gene10	Amp	1.409	27.056	19	2262	OK	Disease
Disease42	Gene10	Amp	1.420	26.494	19	2262	OK	Disease
Disease43	Gene10	Amp	1.400	25.799	19	2262	OK	Disease
Disease44	Gene10	Amp	1.404	28.087	19	2262	OK	Disease
Disease5	Gene10	Amp	1.405	29.150	19	2262	OK	Disease
Disease6	Gene10	Amp	1.386	25.711	19	2262	OK	Disease
Disease7	Gene10	Amp	1.379	28.200	19	2262	OK	Disease
Disease8	Gene10	Amp	1.374	26.952	19	2262	OK	Disease
Disease9	Gene10	Amp	1.412	27.980	19	2262	OK	Disease
Disease1	Gene11	Inconclusive	1.085	36.705	19	139	Undetermined	Disease
Disease10	Gene11	Amp	1.300	34.112	19	2262	OK	Disease
Disease12	Gene11	Inconclusive	1.265	35.402	19	139	Undetermined	Disease
Disease13	Gene11	Inconclusive	1.059	37.134	19	139	Undetermined	Disease
Disease14	Gene11	Amp	1.172	35.233	19	2262	Undetermined	Disease
Disease15	Gene11	Inconclusive	1.203	35.135	19	139	Undetermined	Disease
Disease16	Gene11	Inconclusive	1.101	36.637	19	139	Undetermined	Disease
Disease17	Gene11	Amp	1.322	34.531	19	2262	OK	Disease
Disease18	Gene11	Amp	1.432	32.600	19	2262	OK	Disease
Disease19	Gene11	Amp	1.419	31.488	19	2262	OK	Disease
Disease2	Gene11	Amp	1.192	35.133	19	2262	Undetermined	Disease
Disease22	Gene11	Amp	1.393	33.173	19	2262	OK	Disease
Disease23	Gene11	Amp	1.411	32.646	19	2262	OK	Disease
Disease24	Gene11	No Amp	1.220	35.550	19	487	Undetermined	Disease
Disease25	Gene11	Amp	1.341	33.747	19	2262	OK	Disease
Disease26	Gene11	Amp	1.398	32.769	19	2262	OK	Disease
Disease28	Gene11	Amp	1.416	32.123	19	2262	OK	Disease
Disease29	Gene11	Amp	1.387	32.918	19	2262	OK	Disease
Disease3	Gene11	Inconclusive	1.073	37.081	19	139	Undetermined	Disease
Disease30	Gene11	Amp	1.272	34.298	19	2262	OK	Disease
Disease31	Gene11	Amp	1.416	31.369	19	2262	OK	Disease
Disease32	Gene11	Amp	1.425	32.641	19	2262	OK	Disease
Disease33	Gene11	Amp	1.433	31.340	19	2262	OK	Disease
Disease34	Gene11	Amp	1.343	34.296	19	2262	OK	Disease
Disease35	Gene11	Amp	1.379	33.023	19	2262	OK	Disease
Disease36	Gene11	Amp	1.438	30.882	19	2262	OK	Disease
Disease37	Gene11	Amp	1.421	31.976	19	2262	OK	Disease
Disease38	Gene11	Amp	1.438	30.214	19	2262	OK	Disease
Disease39	Gene11	Amp	1.445	32.449	19	2262	OK	Disease
Disease4	Gene11	Inconclusive	1.080	36.673	19	139	Undetermined	Disease
Disease40	Gene11	Inconclusive	1.259	34.685	19	139	Undetermined	Disease
Disease41	Gene11	Amp	1.350	30.664	19	2262	OK	Disease
Disease42	Gene11	No Amp	1.086	36.948	19	487	Undetermined	Disease
Disease43	Gene11	Amp	1.300	34.369	19	2262	OK	Disease
