Sample	Target	Amp_Status	Amp_Score	Ct	Number	Number_status	FLAG	Group
Disease1	Gene1	Amp	1.379	32.563	19	2262	OK	Disease
Disease10	Gene1	Amp	1.349	34.648	19	2262	OK	Disease
Disease12	Gene1	Amp	1.340	35.059	19	2262	Undetermined	Disease
Disease13	Gene1	Inconclusive	1.195	37.135	19	139	Undetermined	Disease
Disease14	Gene1	Amp	1.387	34.038	19	2262	OK	Disease
Disease15	Gene1	Amp	1.325	35.755	19	2262	Undetermined	Disease
Disease16	Gene1	Inconclusive	1.213	36.895	19	139	Undetermined	Disease
Disease17	Gene1	Inconclusive	1.197	36.910	19	139	Undetermined	Disease
Disease18	Gene1	Amp	1.488	28.904	19	2262	OK	Disease
Disease19	Gene1	Amp	1.505	28.710	19	2262	OK	Disease
Disease2	Gene1	Amp	1.345	35.401	19	2262	Undetermined	Disease
Disease22	Gene1	Amp	1.493	28.752	19	2262	OK	Disease
Disease23	Gene1	Amp	1.469	31.909	19	2262	OK	Disease
Disease24	Gene1	Amp	1.455	33.215	19	2262	OK	Disease
Disease25	Gene1	Amp	1.473	31.663	19	2262	OK	Disease
Disease26	Gene1	Amp	1.520	28.322	19	2262	OK	Disease
Disease28	Gene1	Amp	1.467	28.409	19	2262	OK	Disease
Disease29	Gene1	Amp	1.479	29.351	19	2262	OK	Disease
Disease3	Gene1	Inconclusive	1.215	36.748	19	139	Undetermined	Disease
Disease30	Gene1	Amp	1.518	30.244	19	2262	OK	Disease
Disease31	Gene1	Amp	1.490	27.240	19	2262	OK	Disease
Disease32	Gene1	Amp	1.472	29.819	19	2262	OK	Disease
Disease33	Gene1	Amp	1.495	29.171	19	2262	OK	Disease
Disease34	Gene1	Amp	1.505	30.658	19	2262	OK	Disease
Disease35	Gene1	Amp	1.505	28.818	19	2262	OK	Disease
Disease36	Gene1	Amp	1.498	28.309	19	2262	OK	Disease
Disease37	Gene1	Amp	1.478	27.741	19	2262	OK	Disease
Disease38	Gene1	Amp	1.497	28.034	19	2262	OK	Disease
Disease39	Gene1	Amp	1.504	31.755	19	2262	OK	Disease
Disease4	Gene1	Amp	1.327	35.750	19	2262	Undetermined	Disease
Disease40	Gene1	Amp	1.507	30.513	19	2262	OK	Disease
Disease41	Gene1	Amp	1.498	28.967	19	2262	OK	Disease
Disease42	Gene1	Amp	1.346	35.089	19	2262	Undetermined	Disease
Disease43	Gene1	Amp	1.413	33.471	19	2262	OK	Disease
Disease44	Gene1	Amp	1.352	35.142	19	2262	Undetermined	Disease
Disease5	Gene1	Amp	1.299	35.980	19	2262	Undetermined	Disease
Disease6	Gene1	Amp	1.424	33.660	19	2262	OK	Disease
Disease7	Gene1	Amp	1.313	35.889	19	2262	Undetermined	Disease
Disease8	Gene1	Inconclusive	1.213	36.719	19	139	Undetermined	Disease
Disease9	Gene1	Amp	1.400	33.777	19	2262	OK	Disease
Disease1	Gene2	No Amp	1.118	36.554	19	487	Undetermined	Disease
Disease10	Gene2	No Amp	0.000	37.262	19	487	Undetermined	Disease
Disease12	Gene2	No Amp	0.000	36.977	19	487	Undetermined	Disease
Disease13	Gene2	Inconclusive	0.000	38.295	19	139	Undetermined	Disease
Disease14	Gene2	No Amp	0.000	Undetermined	19	487	Undetermined	Disease
Disease15	Gene2	No Amp	0.000	37.724	19	487	Undetermined	Disease
Disease16	Gene2	No Amp	0.611	Undetermined	19	487	Undetermined	Disease
Disease17	Gene2	Inconclusive	0.000	38.340	19	139	Undetermined	Disease
Disease18	Gene2	No Amp	1.194	35.888	19	487	Undetermined	Disease
Disease19	Gene2	No Amp	0.000	37.878	19	487	Undetermined	Disease
Disease2	Gene2	No Amp	0.000	Undetermined	19	487	Undetermined	Disease
Disease22	Gene2	No Amp	1.171	36.380	19	487	Undetermined	Disease
Disease23	Gene2	No Amp	0.679	Undetermined	19	487	Undetermined	Disease
Disease24	Gene2	No Amp	0.000	Undetermined	19	487	Undetermined	Disease
Disease25	Gene2	No Amp	1.276	35.286	19	487	Undetermined	Disease
Disease26	Gene2	No Amp	1.254	35.226	19	487	Undetermined	Disease
Disease28	Gene2	No Amp	0.000	36.540	19	487	Undetermined	Disease
Disease29	Gene2	No Amp	1.230	35.583	19	487	Undetermined	Disease
Disease3	Gene2	No Amp	0.000	Undetermined	19	487	Undetermined	Disease
Disease30	Gene2	No Amp	0.000	37.276	19	487	Undetermined	Disease
Disease31	Gene2	Inconclusive	1.382	34.203	19	139	Undetermined	Disease
Disease32	Gene2	No Amp	1.219	35.827	19	487	Undetermined	Disease
Disease33	Gene2	Inconclusive	1.319	34.437	19	139	Undetermined	Disease
Disease34	Gene2	No Amp	0.000	37.125	19	487	Undetermined	Disease
Disease35	Gene2	No Amp	1.224	35.804	19	487	Undetermined	Disease
Disease36	Gene2	No Amp	1.299	34.851	19	487	Undetermined	Disease
Disease37	Gene2	No Amp	0.000	36.735	19	487	Undetermined	Disease
Disease38	Gene2	Amp	1.412	33.552	19	2262	OK	Disease
Disease39	Gene2	No Amp	0.945	37.875	19	487	Undetermined	Disease
Disease4	Gene2	No Amp	0.000	37.747	19	487	Undetermined	Disease
