Sample	Gene	Ct	Group	FLAG
AAA29	CCL5	19.984	AAA	OK
AAA3	CCL5	25.117	AAA	OK
AAA30	CCL5	22.839	AAA	OK
AAA31	CCL5	20.417	AAA	OK
AAA32	CCL5	21.509	AAA	OK
AAA33	CCL5	20.855	AAA	OK
AAA34	CCL5	21.917	AAA	OK
AAA35	CCL5	20.48	AAA	OK
AAA36	CCL5	19.434	AAA	OK
AAA37	CCL5	19.295	AAA	OK
AAA38	CCL5	20.255	AAA	OK
AAA39	CCL5	22.475	AAA	OK
AAA4	CCL5	24.08	AAA	OK
AAA40	CCL5	31.508	AAA	OK
AAA41	CCL5	22.517	AAA	OK
AAA42	CCL5	23.976	AAA	OK
AAA43	CCL5	22.556	AAA	OK
AAA44	CCL5	23.31	AAA	OK
AAA5	CCL5	25.273	AAA	OK
AAA6	CCL5	23.273	AAA	OK
AAA7	CCL5	24.856	AAA	OK
AAA8	CCL5	24.404	AAA	OK
AAA9	CCL5	22.9	AAA	OK
VV1	CCL5	24.223	VV	OK
VV10	CCL5	25.612	VV	OK
VV11	CCL5	24.48	VV	OK
VV12	CCL5	25.014	VV	OK
VV14	CCL5	23.083	VV	OK
VV15	CCL5	26.309	VV	OK
VV16	CCL5	24.426	VV	OK
VV17	CCL5	24.2	VV	OK
VV18	CCL5	24.153	VV	OK
VV19	CCL5	25.836	VV	OK
VV2	CCL5	25.068	VV	OK
VV20	CCL5	23.821	VV	OK
VV21	CCL5	25.89	VV	OK
VV22	CCL5	23.298	VV	OK
VV23	CCL5	21.757	VV	OK
VV24	CCL5	21.989	VV	OK
VV25	CCL5	20.815	VV	OK
VV26	CCL5	19.865	VV	OK
VV27	CCL5	20.049	VV	OK
VV29	CCL5	22.058	VV	OK
VV3	CCL5	23.668	VV	OK
VV32	CCL5	22.066	VV	OK
VV33	CCL5	Undetermined	VV	Undetermined
VV34	CCL5	22.295	VV	OK
VV35	CCL5	22.568	VV	OK
VV36	CCL5	22.677	VV	OK
VV37	CCL5	25.266	VV	OK
VV38	CCL5	24.625	VV	OK
VV39	CCL5	26.861	VV	OK
VV4	CCL5	25.635	VV	OK
VV40	CCL5	25.984	VV	OK
VV41	CCL5	23.976	VV	OK
VV43	CCL5	23.776	VV	OK
VV44	CCL5	24.627	VV	OK
VV45	CCL5	28.847	VV	OK
VV5	CCL5	23.208	VV	OK
VV6	CCL5	24.977	VV	OK
VV7	CCL5	25.972	VV	OK
VV8	CCL5	25.084	VV	OK
VV9	CCL5	23.667	VV	OK
Control01	CCL5	21.513	Control	OK
Control02	CCL5	23.653	Control	OK
Control03	CCL5	20.499	Control	OK
Control04	CCL5	22.521	Control	OK
Control05	CCL5	24.123	Control	OK
Control06	CCL5	22.941	Control	OK
Control07	CCL5	21.166	Control	OK
Control08	CCL5	26.228	Control	OK
Control09	CCL5	23.147	Control	OK
Control11	CCL5	22.945	Control	OK
Control12	CCL5	23.637	Control	OK
Control13	CCL5	25.186	Control	OK
Control14	CCL5	22.786	Control	OK
Control15	CCL5	21.877	Control	OK
Control16	CCL5	25.435	Control	OK
Control17	CCL5	22.874	Control	OK
Control19	CCL5	24.268	Control	OK
Control20	CCL5	25.523	Control	OK
Control21	CCL5	23.935	Control	OK
Control22	CCL5	25.056	Control	OK
Control23	CCL5	20.966	Control	OK
Control24	CCL5	24.995	Control	OK
Control25	CCL5	24.597	Control	OK
Control26	CCL5	23.801	Control	OK
AAA1	CSF2	35.608	AAA	Undetermined
AAA10	CSF2	33.385	AAA	OK
AAA12	CSF2	36.374	AAA	Undetermined
AAA13	CSF2	36.997	AAA	Undetermined
AAA14	CSF2	Undetermined	AAA	Undetermined
AAA15	CSF2	35.582	AAA	Undetermined
AAA16	CSF2	34.483	AAA	OK
AAA17	CSF2	37.158	AAA	Undetermined
AAA18	CSF2	33.878	AAA	OK
AAA19	CSF2	34.741	AAA	Undetermined
AAA2	CSF2	35.687	AAA	Undetermined
AAA22	CSF2	36.406	AAA	Undetermined
AAA23	CSF2	36.165	AAA	Undetermined
AAA24	CSF2	37.54	AAA	Undetermined
AAA25	CSF2	36.91	AAA	Undetermined
AAA26	CSF2	33.306	AAA	OK
AAA28	CSF2	32.347	AAA	OK
AAA29	CSF2	33.464	AAA	OK
AAA3	CSF2	38.352	AAA	Undetermined
AAA30	CSF2	35.696	AAA	Undetermined
AAA31	CSF2	34.857	AAA	Undetermined
AAA32	CSF2	35.781	AAA	Undetermined
AAA33	CSF2	31.699	AAA	OK
AAA34	CSF2	34.832	AAA	Undetermined
AAA35	CSF2	34.59	AAA	Undetermined
AAA36	CSF2	32.421	AAA	OK
AAA37	CSF2	33.738	AAA	OK
AAA38	CSF2	32.684	AAA	OK
AAA39	CSF2	34.486	AAA	Undetermined
AAA4	CSF2	36.122	AAA	Undetermined
AAA40	CSF2	37.266	AAA	Undetermined
AAA41	CSF2	34.501	AAA	OK
AAA42	CSF2	37.4	AAA	Undetermined
AAA43	CSF2	34.743	AAA	OK
AAA44	CSF2	37.576	AAA	Undetermined
AAA5	CSF2	Undetermined	AAA	Undetermined
AAA6	CSF2	34.821	AAA	OK
AAA7	CSF2	37.205	AAA	Undetermined
AAA8	CSF2	38.812	AAA	Undetermined
AAA9	CSF2	34.553	AAA	OK
VV1	CSF2	35.116	VV	Undetermined
VV10	CSF2	36.867	VV	Undetermined
VV11	CSF2	37.588	VV	Undetermined
VV12	CSF2	38.414	VV	Undetermined
VV14	CSF2	34.955	VV	OK
VV15	CSF2	38.925	VV	Undetermined
VV16	CSF2	37.649	VV	Undetermined
VV17	CSF2	39.191	VV	Undetermined
VV18	CSF2	Undetermined	VV	Undetermined
VV19	CSF2	34.578	VV	OK
VV2	CSF2	36.209	VV	Undetermined
VV20	CSF2	Undetermined	VV	Undetermined
VV21	CSF2	36.969	VV	Undetermined
VV22	CSF2	36	VV	Undetermined
VV23	CSF2	34.173	VV	Undetermined
VV24	CSF2	35.446	VV	Undetermined
VV25	CSF2	34.57	VV	OK
VV26	CSF2	31.62	VV	OK
VV27	CSF2	30.467	VV	OK
VV29	CSF2	34.654	VV	OK
VV3	CSF2	37.825	VV	Undetermined
VV32	CSF2	35.504	VV	Undetermined
VV33	CSF2	33.936	VV	OK
VV34	CSF2	38.154	VV	Undetermined
VV35	CSF2	35.602	VV	Undetermined
VV36	CSF2	Undetermined	VV	Undetermined
VV37	CSF2	36.897	VV	Undetermined
VV38	CSF2	39.048	VV	Undetermined
VV39	CSF2	Undetermined	VV	Undetermined
VV4	CSF2	Undetermined	VV	Undetermined
VV40	CSF2	Undetermined	VV	Undetermined
VV41	CSF2	36.466	VV	Undetermined
VV43	CSF2	Undetermined	VV	Undetermined
VV44	CSF2	38.7	VV	Undetermined
VV45	CSF2	Undetermined	VV	Undetermined
VV5	CSF2	34.02	VV	OK
VV6	CSF2	Undetermined	VV	Undetermined
VV7	CSF2	Undetermined	VV	Undetermined
VV8	CSF2	38	VV	Undetermined
VV9	CSF2	35.202	VV	Undetermined
Control01	CSF2	32.118	Control	OK
Control02	CSF2	35.042	Control	Undetermined
Control03	CSF2	33.275	Control	OK
Control04	CSF2	35.55	Control	Undetermined
Control05	CSF2	36.667	Control	Undetermined
Control06	CSF2	34.6	Control	OK
Control07	CSF2	32.097	Control	OK
Control08	CSF2	37.147	Control	Undetermined
Control09	CSF2	36.036	Control	Undetermined
Control11	CSF2	36.241	Control	Undetermined
Control12	CSF2	34.645	Control	OK
Control13	CSF2	36.808	Control	Undetermined
Control14	CSF2	32.484	Control	OK
Control15	CSF2	34.558	Control	OK
Control16	CSF2	36.844	Control	Undetermined
Control17	CSF2	34.369	Control	OK
Control19	CSF2	31.799	Control	OK
Control20	CSF2	38.097	Control	Undetermined
Control21	CSF2	32.783	Control	OK
Control22	CSF2	35.709	Control	Undetermined
Control23	CSF2	31.588	Control	OK
Control24	CSF2	35.664	Control	Undetermined
Control25	CSF2	37.935	Control	Undetermined
Control26	CSF2	37.361	Control	Undetermined
AAA1	FGF2	32.789	AAA	OK
AAA10	FGF2	33.295	AAA	OK
AAA12	FGF2	31.318	AAA	OK
AAA13	FGF2	35.526	AAA	Undetermined
AAA14	FGF2	31.937	AAA	OK
AAA15	FGF2	31.363	AAA	OK
AAA16	FGF2	34.809	AAA	OK
AAA17	FGF2	34.122	AAA	OK
AAA18	FGF2	30.023	AAA	OK
AAA19	FGF2	28.986	AAA	OK
AAA2	FGF2	34.962	AAA	OK
AAA22	FGF2	32.927	AAA	OK
AAA23	FGF2	32.974	AAA	OK
AAA24	FGF2	33.868	AAA	OK
AAA25	FGF2	33.671	AAA	OK
AAA26	FGF2	29.983	AAA	OK
AAA28	FGF2	30.769	AAA	OK
AAA29	FGF2	29.289	AAA	OK
AAA3	FGF2	34.29	AAA	OK
AAA30	FGF2	31.573	AAA	OK
AAA31	FGF2	30.536	AAA	OK
AAA32	FGF2	31.532	AAA	OK
AAA33	FGF2	31.616	AAA	OK
AAA34	FGF2	32.901	AAA	OK
AAA35	FGF2	30.147	AAA	OK
AAA36	FGF2	30.017	AAA	OK
AAA37	FGF2	28.41	AAA	OK
AAA38	FGF2	29.559	AAA	OK
AAA39	FGF2	32.465	AAA	OK
AAA4	FGF2	33.886	AAA	OK
AAA40	FGF2	31.957	AAA	OK
AAA41	FGF2	30.274	AAA	OK
AAA42	FGF2	31.24	AAA	OK
AAA43	FGF2	33.499	AAA	OK
AAA44	FGF2	32.382	AAA	OK
AAA5	FGF2	34.624	AAA	OK
AAA6	FGF2	32.345	AAA	OK
AAA7	FGF2	33.313	AAA	OK
AAA8	FGF2	33.884	AAA	OK
AAA9	FGF2	32.242	AAA	OK
VV1	FGF2	33.497	VV	OK
VV10	FGF2	34.874	VV	OK
VV11	FGF2	35.243	VV	Undetermined
VV12	FGF2	32.971	VV	OK
VV14	FGF2	32.769	VV	OK
VV15	FGF2	32.453	VV	OK
VV16	FGF2	32.092	VV	OK
VV17	FGF2	34.582	VV	OK
VV18	FGF2	36.542	VV	Undetermined
VV19	FGF2	34.151	VV	OK
VV2	FGF2	35.712	VV	Undetermined
VV20	FGF2	34.252	VV	OK
VV21	FGF2	38.749	VV	Undetermined
VV22	FGF2	31.05	VV	OK
VV23	FGF2	34.526	VV	OK
VV24	FGF2	33.445	VV	OK
VV25	FGF2	29.011	VV	OK
VV26	FGF2	28.864	VV	OK
VV27	FGF2	29.774	VV	OK
VV29	FGF2	31.854	VV	OK
VV3	FGF2	32.241	VV	OK
VV32	FGF2	31.764	VV	OK
VV33	FGF2	28.77	VV	OK
VV34	FGF2	29.128	VV	OK
VV35	FGF2	32.777	VV	OK
VV36	FGF2	31.409	VV	OK
VV37	FGF2	36.683	VV	Undetermined
VV38	FGF2	34.976	VV	OK
VV39	FGF2	38.429	VV	Undetermined
VV4	FGF2	34.194	VV	OK
VV40	FGF2	36.705	VV	Undetermined
VV41	FGF2	36.415	VV	Undetermined
VV43	FGF2	33.233	VV	OK
VV44	FGF2	38	VV	Undetermined
VV45	FGF2	Undetermined	VV	Undetermined
VV5	FGF2	32.486	VV	OK
VV6	FGF2	31.712	VV	OK
VV7	FGF2	34.341	VV	OK
VV8	FGF2	33.779	VV	OK
VV9	FGF2	33.687	VV	OK
Control01	FGF2	30.21	Control	OK
Control02	FGF2	31.761	Control	OK
Control03	FGF2	30.179	Control	OK
Control04	FGF2	32.356	Control	OK
Control05	FGF2	31.019	Control	OK
Control06	FGF2	32.365	Control	OK
Control07	FGF2	29.246	Control	OK
Control08	FGF2	35.913	Control	Undetermined
Control09	FGF2	30.209	Control	OK
Control11	FGF2	34.374	Control	OK
Control12	FGF2	36.446	Control	Undetermined
Control13	FGF2	34.338	Control	OK
Control14	FGF2	32.538	Control	OK
Control15	FGF2	31.137	Control	OK
Control16	FGF2	36.135	Control	Undetermined
Control17	FGF2	33.805	Control	OK
Control19	FGF2	31.707	Control	OK
Control20	FGF2	31.178	Control	OK
Control21	FGF2	31.58	Control	OK
Control22	FGF2	35.072	Control	Undetermined
Control23	FGF2	30.936	Control	OK
Control24	FGF2	31.538	Control	OK
Control25	FGF2	34.236	Control	OK
Control26	FGF2	31.987	Control	OK
Control01	FGF23	Undetermined	Control	Undetermined
Control01	FGF23	Undetermined	Control	Undetermined
Control02	FGF23	Undetermined	Control	Undetermined
Control02	FGF23	Undetermined	Control	Undetermined
Control03	FGF23	Undetermined	Control	Undetermined
Control03	FGF23	Undetermined	Control	Undetermined
Control04	FGF23	Undetermined	Control	Undetermined
Control04	FGF23	Undetermined	Control	Undetermined
Control05	FGF23	Undetermined	Control	Undetermined
Control05	FGF23	Undetermined	Control	Undetermined
Control06	FGF23	Undetermined	Control	Undetermined
Control06	FGF23	Undetermined	Control	Undetermined
Control07	FGF23	Undetermined	Control	Undetermined
Control07	FGF23	Undetermined	Control	Undetermined
Control08	FGF23	Undetermined	Control	Undetermined
Control08	FGF23	Undetermined	Control	Undetermined
