Sample	Gene	Ct	Group	FLAG
AAA1	ANGPT1	32.563	AAA	OK
AAA10	ANGPT1	34.648	AAA	OK
AAA12	ANGPT1	35.059	AAA	Undetermined
AAA13	ANGPT1	37.135	AAA	Undetermined
AAA14	ANGPT1	34.038	AAA	OK
AAA15	ANGPT1	35.755	AAA	Undetermined
AAA16	ANGPT1	36.895	AAA	Undetermined
AAA17	ANGPT1	36.91	AAA	Undetermined
AAA18	ANGPT1	28.904	AAA	OK
AAA19	ANGPT1	28.71	AAA	OK
AAA2	ANGPT1	35.401	AAA	Undetermined
AAA22	ANGPT1	28.752	AAA	OK
AAA23	ANGPT1	31.909	AAA	OK
AAA24	ANGPT1	33.215	AAA	OK
AAA25	ANGPT1	31.663	AAA	OK
AAA26	ANGPT1	28.322	AAA	OK
AAA28	ANGPT1	28.409	AAA	OK
AAA29	ANGPT1	29.351	AAA	OK
AAA3	ANGPT1	36.748	AAA	Undetermined
AAA30	ANGPT1	30.244	AAA	OK
AAA31	ANGPT1	27.24	AAA	OK
AAA32	ANGPT1	29.819	AAA	OK
AAA33	ANGPT1	29.171	AAA	OK
AAA34	ANGPT1	30.658	AAA	OK
AAA35	ANGPT1	28.818	AAA	OK
AAA36	ANGPT1	28.309	AAA	OK
AAA37	ANGPT1	27.741	AAA	OK
AAA38	ANGPT1	28.034	AAA	OK
AAA39	ANGPT1	31.755	AAA	OK
AAA4	ANGPT1	35.75	AAA	Undetermined
AAA40	ANGPT1	30.513	AAA	OK
AAA41	ANGPT1	28.967	AAA	OK
AAA42	ANGPT1	35.089	AAA	Undetermined
AAA43	ANGPT1	33.471	AAA	OK
AAA44	ANGPT1	35.142	AAA	Undetermined
AAA5	ANGPT1	35.98	AAA	Undetermined
AAA6	ANGPT1	33.66	AAA	OK
AAA7	ANGPT1	35.889	AAA	Undetermined
AAA8	ANGPT1	36.719	AAA	Undetermined
AAA9	ANGPT1	33.777	AAA	OK
VV1	ANGPT1	35.009	VV	Undetermined
VV10	ANGPT1	37.634	VV	Undetermined
VV11	ANGPT1	36.947	VV	Undetermined
VV12	ANGPT1	37.206	VV	Undetermined
VV14	ANGPT1	34.336	VV	OK
VV15	ANGPT1	38	VV	Undetermined
VV16	ANGPT1	35.939	VV	Undetermined
VV17	ANGPT1	37.329	VV	Undetermined
VV18	ANGPT1	35.243	VV	Undetermined
VV19	ANGPT1	36.003	VV	Undetermined
VV2	ANGPT1	36.131	VV	Undetermined
VV20	ANGPT1	33.091	VV	OK
VV21	ANGPT1	36.567	VV	Undetermined
VV22	ANGPT1	30.073	VV	OK
VV23	ANGPT1	31.353	VV	OK
VV24	ANGPT1	30.279	VV	OK
VV25	ANGPT1	28.46	VV	OK
VV26	ANGPT1	27.319	VV	OK
VV27	ANGPT1	27.932	VV	OK
VV29	ANGPT1	31.172	VV	OK
VV3	ANGPT1	34.928	VV	OK
VV32	ANGPT1	31.846	VV	OK
VV33	ANGPT1	28.376	VV	OK
VV34	ANGPT1	29.408	VV	OK
VV35	ANGPT1	31.885	VV	OK
VV36	ANGPT1	31.121	VV	OK
VV37	ANGPT1	34.02	VV	OK
VV38	ANGPT1	32.678	VV	OK
VV39	ANGPT1	36.068	VV	Undetermined
VV4	ANGPT1	36.401	VV	Undetermined
VV40	ANGPT1	35.574	VV	Undetermined
VV41	ANGPT1	32.919	VV	OK
VV43	ANGPT1	32.771	VV	OK
VV44	ANGPT1	35.516	VV	Undetermined
VV45	ANGPT1	Undetermined	VV	Undetermined
VV5	ANGPT1	33.68	VV	OK
VV6	ANGPT1	35.972	VV	Undetermined
VV7	ANGPT1	37.507	VV	Undetermined
VV8	ANGPT1	37.447	VV	Undetermined
VV9	ANGPT1	34.31	VV	OK
Control01	ANGPT1	30.402	Control	OK
Control02	ANGPT1	33.052	Control	OK
Control03	ANGPT1	32.096	Control	OK
Control04	ANGPT1	33.941	Control	OK
Control05	ANGPT1	35.507	Control	Undetermined
Control06	ANGPT1	34.053	Control	OK
Control07	ANGPT1	27.941	Control	OK
Control08	ANGPT1	36.668	Control	Undetermined
Control09	ANGPT1	33.073	Control	OK
Control11	ANGPT1	34.234	Control	OK
Control12	ANGPT1	34.475	Control	OK
Control13	ANGPT1	35.976	Control	Undetermined
Control14	ANGPT1	32.728	Control	OK
Control15	ANGPT1	32.34	Control	OK
Control16	ANGPT1	35.647	Control	Undetermined
Control17	ANGPT1	34.466	Control	OK
Control19	ANGPT1	33.723	Control	OK
Control20	ANGPT1	33.068	Control	OK
Control21	ANGPT1	34.038	Control	OK
Control22	ANGPT1	35.573	Control	Undetermined
Control23	ANGPT1	31.314	Control	OK
Control24	ANGPT1	33.079	Control	OK
Control25	ANGPT1	34.836	Control	Undetermined
Control26	ANGPT1	34.506	Control	OK
AAA1	ANGPT2	36.554	AAA	Undetermined
AAA10	ANGPT2	37.262	AAA	Undetermined
AAA12	ANGPT2	36.977	AAA	Undetermined
AAA13	ANGPT2	38.295	AAA	Undetermined
AAA14	ANGPT2	Undetermined	AAA	Undetermined
AAA15	ANGPT2	37.724	AAA	Undetermined
AAA16	ANGPT2	Undetermined	AAA	Undetermined
AAA17	ANGPT2	38.34	AAA	Undetermined
AAA18	ANGPT2	35.888	AAA	Undetermined
AAA19	ANGPT2	37.878	AAA	Undetermined
AAA2	ANGPT2	Undetermined	AAA	Undetermined
AAA22	ANGPT2	36.38	AAA	Undetermined
AAA23	ANGPT2	Undetermined	AAA	Undetermined
AAA24	ANGPT2	Undetermined	AAA	Undetermined
AAA25	ANGPT2	35.286	AAA	Undetermined
AAA26	ANGPT2	35.226	AAA	Undetermined
AAA28	ANGPT2	36.54	AAA	Undetermined
AAA29	ANGPT2	35.583	AAA	Undetermined
AAA3	ANGPT2	Undetermined	AAA	Undetermined
AAA30	ANGPT2	37.276	AAA	Undetermined
AAA31	ANGPT2	34.203	AAA	Undetermined
AAA32	ANGPT2	35.827	AAA	Undetermined
AAA33	ANGPT2	34.437	AAA	Undetermined
AAA34	ANGPT2	37.125	AAA	Undetermined
AAA35	ANGPT2	35.804	AAA	Undetermined
AAA36	ANGPT2	34.851	AAA	Undetermined
AAA37	ANGPT2	36.735	AAA	Undetermined
AAA38	ANGPT2	33.552	AAA	OK
AAA39	ANGPT2	37.875	AAA	Undetermined
AAA4	ANGPT2	37.747	AAA	Undetermined
AAA40	ANGPT2	38.533	AAA	Undetermined
AAA41	ANGPT2	35.691	AAA	Undetermined
AAA42	ANGPT2	38.602	AAA	Undetermined
AAA43	ANGPT2	Undetermined	AAA	Undetermined
AAA44	ANGPT2	36.738	AAA	Undetermined
AAA5	ANGPT2	34.901	AAA	Undetermined
AAA6	ANGPT2	36.993	AAA	Undetermined
AAA7	ANGPT2	37.677	AAA	Undetermined
AAA8	ANGPT2	38.081	AAA	Undetermined
AAA9	ANGPT2	37.031	AAA	Undetermined
VV1	ANGPT2	36.268	VV	Undetermined
VV10	ANGPT2	36.341	VV	Undetermined
VV11	ANGPT2	37.599	VV	Undetermined
VV12	ANGPT2	38.794	VV	Undetermined
VV14	ANGPT2	Undetermined	VV	Undetermined
VV15	ANGPT2	Undetermined	VV	Undetermined
VV16	ANGPT2	Undetermined	VV	Undetermined
VV17	ANGPT2	Undetermined	VV	Undetermined
VV18	ANGPT2	36.817	VV	Undetermined
VV19	ANGPT2	Undetermined	VV	Undetermined
VV2	ANGPT2	38.107	VV	Undetermined
VV20	ANGPT2	37.655	VV	Undetermined
VV21	ANGPT2	Undetermined	VV	Undetermined
VV22	ANGPT2	Undetermined	VV	Undetermined
VV23	ANGPT2	37.377	VV	Undetermined
VV24	ANGPT2	37.319	VV	Undetermined
VV25	ANGPT2	37.976	VV	Undetermined
VV26	ANGPT2	35.12	VV	Undetermined
VV27	ANGPT2	36.247	VV	Undetermined
VV29	ANGPT2	38.037	VV	Undetermined
VV3	ANGPT2	Undetermined	VV	Undetermined
VV32	ANGPT2	35.977	VV	Undetermined
VV33	ANGPT2	35.95	VV	Undetermined
VV34	ANGPT2	34.581	VV	Undetermined
VV35	ANGPT2	38.519	VV	Undetermined
VV36	ANGPT2	36.479	VV	Undetermined
VV37	ANGPT2	Undetermined	VV	Undetermined
VV38	ANGPT2	Undetermined	VV	Undetermined
VV39	ANGPT2	Undetermined	VV	Undetermined
VV4	ANGPT2	Undetermined	VV	Undetermined
VV40	ANGPT2	38.479	VV	Undetermined
VV41	ANGPT2	Undetermined	VV	Undetermined
VV43	ANGPT2	37.98	VV	Undetermined
VV44	ANGPT2	Undetermined	VV	Undetermined
VV45	ANGPT2	Undetermined	VV	Undetermined
VV5	ANGPT2	37.504	VV	Undetermined
VV6	ANGPT2	38.813	VV	Undetermined
VV7	ANGPT2	37.767	VV	Undetermined
VV8	ANGPT2	Undetermined	VV	Undetermined
VV9	ANGPT2	37.991	VV	Undetermined
Control01	ANGPT2	34.886	Control	Undetermined
Control02	ANGPT2	36.841	Control	Undetermined
Control03	ANGPT2	35.774	Control	Undetermined
Control04	ANGPT2	36.383	Control	Undetermined
Control05	ANGPT2	37.524	Control	Undetermined
Control06	ANGPT2	37.094	Control	Undetermined
Control07	ANGPT2	36.487	Control	Undetermined
Control08	ANGPT2	Undetermined	Control	Undetermined
Control09	ANGPT2	35.993	Control	Undetermined
Control11	ANGPT2	36.63	Control	Undetermined
Control12	ANGPT2	38.793	Control	Undetermined
Control13	ANGPT2	37.958	Control	Undetermined
Control14	ANGPT2	37.802	Control	Undetermined
Control15	ANGPT2	35.834	Control	Undetermined
Control16	ANGPT2	Undetermined	Control	Undetermined
Control17	ANGPT2	37.41	Control	Undetermined
Control19	ANGPT2	35.604	Control	Undetermined
Control20	ANGPT2	Undetermined	Control	Undetermined
Control21	ANGPT2	38.219	Control	Undetermined
Control22	ANGPT2	Undetermined	Control	Undetermined
Control23	ANGPT2	35.672	Control	Undetermined
Control24	ANGPT2	37.901	Control	Undetermined
Control25	ANGPT2	39.471	Control	Undetermined
Control26	ANGPT2	38.011	Control	Undetermined
AAA1	CCL2	31.334	AAA	OK
AAA10	CCL2	31.161	AAA	OK
AAA12	CCL2	32.077	AAA	OK
AAA13	CCL2	33.982	AAA	OK
AAA14	CCL2	31.916	AAA	OK
AAA15	CCL2	33.497	AAA	OK
AAA16	CCL2	35.357	AAA	Undetermined
AAA17	CCL2	30.078	AAA	OK
AAA18	CCL2	29.717	AAA	OK
AAA19	CCL2	34.185	AAA	OK
AAA2	CCL2	30.671	AAA	OK
AAA22	CCL2	30.011	AAA	OK
AAA23	CCL2	Undetermined	AAA	Undetermined
AAA24	CCL2	33.739	AAA	OK
AAA25	CCL2	32.467	AAA	OK
AAA26	CCL2	34.467	AAA	OK
AAA28	CCL2	29.316	AAA	OK
AAA29	CCL2	30.686	AAA	OK
AAA3	CCL2	33.826	AAA	OK
AAA30	CCL2	33.917	AAA	OK
AAA31	CCL2	28.202	AAA	OK
AAA32	CCL2	31.663	AAA	OK
AAA33	CCL2	30.249	AAA	OK
AAA34	CCL2	29.839	AAA	OK
AAA35	CCL2	28.324	AAA	OK
AAA36	CCL2	31.564	AAA	OK
AAA37	CCL2	29.86	AAA	OK
AAA38	CCL2	29.755	AAA	OK
AAA39	CCL2	28.885	AAA	OK
AAA4	CCL2	32.492	AAA	OK
AAA40	CCL2	Undetermined	AAA	Undetermined
AAA41	CCL2	33.67	AAA	OK
AAA42	CCL2	35.186	AAA	Undetermined
AAA43	CCL2	32.162	AAA	OK
AAA44	CCL2	34.141	AAA	OK
AAA5	CCL2	32.36	AAA	OK
AAA6	CCL2	30.905	AAA	OK
AAA7	CCL2	32.677	AAA	OK
AAA8	CCL2	32.021	AAA	OK
AAA9	CCL2	31.086	AAA	OK
VV1	CCL2	34.519	VV	OK
VV10	CCL2	32.486	VV	OK
VV11	CCL2	33.68	VV	OK
VV12	CCL2	34.094	VV	OK
VV14	CCL2	35.231	VV	Undetermined
VV15	CCL2	30.201	VV	OK
VV16	CCL2	33.812	VV	OK
VV17	CCL2	31.743	VV	OK
VV18	CCL2	33.603	VV	OK
VV19	CCL2	34.594	VV	OK
VV2	CCL2	35.586	VV	Undetermined
VV20	CCL2	Undetermined	VV	Undetermined
VV21	CCL2	31.746	VV	OK
VV22	CCL2	34.191	VV	OK
VV23	CCL2	30.965	VV	OK
VV24	CCL2	31.793	VV	OK
VV25	CCL2	33.803	VV	OK
VV26	CCL2	31.254	VV	OK
VV27	CCL2	30.679	VV	OK
VV29	CCL2	32.346	VV	OK
VV3	CCL2	32.833	VV	OK
VV32	CCL2	31.085	VV	OK
VV33	CCL2	32.554	VV	OK
VV34	CCL2	31.885	VV	OK
VV35	CCL2	35.4	VV	Undetermined
VV36	CCL2	30.392	VV	OK
VV37	CCL2	34.781	VV	OK
VV38	CCL2	37.423	VV	Undetermined
VV39	CCL2	Undetermined	VV	Undetermined
VV4	CCL2	34.578	VV	OK
VV40	CCL2	34.115	VV	OK
VV41	CCL2	33.104	VV	OK
VV43	CCL2	35.968	VV	Undetermined
VV44	CCL2	33.795	VV	OK
VV45	CCL2	38.49	VV	Undetermined
VV5	CCL2	32.141	VV	OK
VV6	CCL2	37.258	VV	Undetermined
VV7	CCL2	29.782	VV	OK
VV8	CCL2	34.353	VV	OK
VV9	CCL2	32.762	VV	OK
Control01	CCL2	29.179	Control	OK
Control02	CCL2	31.408	Control	OK
Control03	CCL2	28.203	Control	OK
Control04	CCL2	29.143	Control	OK
Control05	CCL2	33.657	Control	OK
Control06	CCL2	30.039	Control	OK
Control07	CCL2	30.028	Control	OK
Control08	CCL2	34.853	Control	OK
Control09	CCL2	31.095	Control	OK
Control11	CCL2	32.662	Control	OK
Control12	CCL2	30.194	Control	OK
Control13	CCL2	32.6	Control	OK
Control14	CCL2	30.601	Control	OK
Control15	CCL2	30.821	Control	OK
Control16	CCL2	33.432	Control	OK
Control17	CCL2	30.462	Control	OK
Control19	CCL2	32.756	Control	OK
Control20	CCL2	38.85	Control	Undetermined
Control21	CCL2	34.873	Control	OK
Control22	CCL2	34.886	Control	OK
Control23	CCL2	31.745	Control	OK
Control24	CCL2	38	Control	Undetermined
Control25	CCL2	34.786	Control	OK
Control26	CCL2	34.256	Control	OK
AAA1	CCL5	23.415	AAA	OK
AAA10	CCL5	22.408	AAA	OK
AAA12	CCL5	24.332	AAA	OK
AAA13	CCL5	24.895	AAA	OK
AAA14	CCL5	24.139	AAA	OK
AAA15	CCL5	24.937	AAA	OK
AAA16	CCL5	23.072	AAA	OK
AAA17	CCL5	24.051	AAA	OK
AAA18	CCL5	21.193	AAA	OK
AAA19	CCL5	21.328	AAA	OK
AAA2	CCL5	21.847	AAA	OK
AAA22	CCL5	23.016	AAA	OK
AAA23	CCL5	23.886	AAA	OK
AAA24	CCL5	24.505	AAA	OK
AAA25	CCL5	23.75	AAA	OK
AAA26	CCL5	20.638	AAA	OK
AAA28	CCL5	20.144	AAA	OK
